Row,"BlueMor  Joined 2014-01-13 07:03:07+00:00 | 17 public repos | 4 non-forked repos | 780 forks (45.8823529412 per repo) | 1811 stars (106.529411765 per repo | 192 followers | 15 following",1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CommitComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Create,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Delete,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fork,0,0,0,0,0,2,3,6,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gist,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gollum,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IssueComment,0,0,0,0,0,0,0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Issues,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Member,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Public,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PullRequest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PullRequestReviewComment,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Push,0,0,0,0,0,0,0,5,21,10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Release,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Watch,0,0,0,0,0,0,1,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QualityPROpened,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,QualityPRClosed,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
